tanggal,pm10,so2,co,o3,no2,max,critical,kategori,lokasi_spku
2018-10-01,92,33,17,124,12,124,O3,TIDAK SEHAT,DKI5
2018-10-02,76,41,22,88,21,88,O3,SEDANG,DKI5
2018-10-03,70,32,20,144,11,144,O3,TIDAK SEHAT,DKI5
2018-10-04,73,32,24,109,11,109,O3,TIDAK SEHAT,DKI5
2018-10-05,67,34,18,146,13,146,O3,TIDAK SEHAT,DKI5
2018-10-06,70,33,21,123,12,123,O3,TIDAK SEHAT,DKI5
2018-10-07,87,34,22,128,12,128,O3,TIDAK SEHAT,DKI5
2018-10-08,66,34,19,185,12,185,O3,TIDAK SEHAT,DKI5
2018-10-09,62,34,19,173,11,173,O3,TIDAK SEHAT,DKI5
2018-10-10,79,36,24,190,18,190,O3,TIDAK SEHAT,DKI5
2018-10-11,81,36,17,149,13,149,O3,TIDAK SEHAT,DKI5
2018-10-12,77,35,22,118,16,118,O3,TIDAK SEHAT,DKI5
2018-10-13,64,35,20,189,25,189,O3,TIDAK SEHAT,DKI2
2018-10-14,86,35,20,138,16,138,O3,TIDAK SEHAT,DKI5
2018-10-15,73,33,19,119,12,119,O3,TIDAK SEHAT,DKI5
2018-10-16,74,33,23,210,19,210,O3,SANGAT TIDAK SEHAT,DKI5
2018-10-17,75,34,23,217,19,217,O3,SANGAT TIDAK SEHAT,DKI5
2018-10-18,72,36,20,207,22,207,O3,SANGAT TIDAK SEHAT,DKI5
2018-10-19,66,30,23,146,17,146,O3,TIDAK SEHAT,DKI5
2018-10-20,57,31,18,212,14,212,O3,SANGAT TIDAK SEHAT,DKI5
2018-10-21,65,33,22,139,17,139,O3,TIDAK SEHAT,DKI5
2018-10-22,71,28,21,150,12,150,O3,TIDAK SEHAT,DKI5
2018-10-23,44,26,19,148,16,148,O3,TIDAK SEHAT,DKI2
2018-10-24,73,35,31,139,21,139,O3,TIDAK SEHAT,DKI2
2018-10-25,67,30,25,97,19,97,O3,SEDANG,DKI5
2018-10-26,67,29,20,119,21,119,O3,TIDAK SEHAT,DKI2
2018-10-27,77,26,26,104,11,104,O3,TIDAK SEHAT,DKI3
2018-10-28,43,23,20,90,16,90,O3,SEDANG,DKI3
2018-10-29,49,25,24,85,13,85,O3,SEDANG,DKI3
2018-10-30,61,31,25,104,10,104,O3,TIDAK SEHAT,DKI3
2018-10-31,57,27,20,97,15,97,O3,SEDANG,DKI3
